user_id,name,age,gender,location,signup_date,subscription_plan,device_type
306df031-66fa-4470-9410-33e643cb792f,Rockwell Shopcott,65,Male,Portugal,8/5/2022,Super,Desktop
3c995659-2c51-48f8-8762-4bf154467f40,Hermie Hebden,48,Male,China,8/16/2022,Pro,Television
577480be-e4ea-465d-aa5e-92956a972021,Rosalia Reston,40,Agender,Canada,5/10/2022,Pro,Desktop
0537e3b9-1586-4421-b804-ea28b93109ad,Emmet Servis,85,Male,Iran,10/24/2022,Pro,Television
c62229c3-30ee-4b11-8f0f-7c6b44dd0b81,Cherlyn Clemmey,17,Female,China,6/11/2022,Super,Desktop
e82ab029-a3bb-4cf1-bb82-f30fa4f03181,Jermayne Haggath,98,Male,Jamaica,7/13/2022,Super,Mobile
1bfabd79-7a8f-496e-b0c2-1ccb63db8f52,Zonda Whetson,58,Female,Poland,3/31/2022,Pro,Television
d9f84499-2ccb-4b01-9320-e4570fd9b3d7,Arielle Brannon,49,Female,Portugal,1/27/2023,Premium,Desktop
92bba2e9-2ce1-4afa-bf94-4cd990b3a874,Forbes Winnard,52,Male,Portugal,7/20/2022,Premium,Television
b16a3b7e-89e7-485c-b17b-21dd0ff3abfb,Adham Gorey,56,Male,China,10/27/2022,Pro,Mobile
5e20fb23-f5c8-40e6-be98-654767e04bf4,Jacki Dubock,93,Female,Thailand,10/14/2022,Premium,Desktop
2d43b8cc-f986-4673-8f60-1543a7d968a1,Amandie Hicklingbottom,80,Female,Russia,3/9/2023,Premium,Mobile
0606074b-c64b-4ebc-861f-c0748054e1a5,Sidonnie Simco,84,Female,Cameroon,9/25/2022,Pro,Television
8191b1b4-a9f1-48d1-b255-577052149c39,Dolli Patterfield,4,Female,Slovenia,8/6/2022,Super,Desktop
8d22d0a3-33d7-4a78-88f1-630b7f4018e1,Edgardo Seemmonds,45,Male,China,1/4/2023,Premium,Mobile
46d032e7-e9bf-4d23-b15a-b46852d5bbe0,Zaneta Bilby,26,Female,France,5/4/2022,Premium,Television
0f21b7ba-6031-4c75-90fe-23de9c192949,Benjie Gloves,79,Male,Netherlands,4/20/2022,Super,Desktop
5f268d0b-a63b-40f7-aa5e-105ace3f952b,Jacqui Lowery,37,Female,Mexico,3/1/2023,Pro,Television
dd421b6a-d591-4690-8da1-0629a5483fe5,Parnell Haville,66,Genderfluid,Slovenia,3/3/2023,Premium,Television
1535e852-11d3-457a-ba8c-e5364646f314,Keene Tiler,75,Male,Czech Republic,3/17/2023,Pro,Television
2f472992-77ea-4778-8711-bfbe530c1276,Currie Glew,66,Non-binary,Spain,9/17/2022,Premium,Desktop
b9cc96eb-60bc-48ce-be6a-c8a99c9a2dde,Katlin Cavey,98,Female,China,11/18/2022,Pro,Desktop
04ed43db-8eb8-438e-9f58-513343223e81,Marcellina Scay,87,Female,Mexico,9/22/2022,Pro,Mobile
a1bd08b3-2cb2-4b89-9fe7-7a74f9a0cdde,Bethanne Clara,41,Female,Laos,6/29/2022,Pro,Desktop
b9813156-c9ae-4f96-9283-13754cdbe67c,Kleon Vazquez,93,Male,Portugal,10/22/2022,Premium,Television
9fcde900-e9d9-45f3-863f-fe72c86de9af,Chev MacSweeney,31,Male,Colombia,4/19/2022,Super,Desktop
9e3e5e5c-47b2-4a3a-9b43-8589e4ae5bea,Bruis Skill,12,Male,China,4/30/2022,Premium,Mobile
8f6f8470-cdd1-45ab-8dbd-2d34147e75c0,Filmore Cattermole,38,Male,Brazil,1/14/2023,Premium,Television
3db5df35-7a2f-452b-b482-9dd470bacc2b,Gweneth Colls,11,Genderqueer,Canada,3/10/2023,Super,Mobile
4df58baf-0bf4-42e5-9e9b-cc9b0027aca7,Nicoli Drayton,70,Female,Chile,12/22/2022,Super,Television
9acb2339-583a-4637-9816-c8e427c41f37,Tandie Norker,86,Female,Indonesia,10/18/2022,Super,Mobile
56e09b9e-f703-4912-85ea-2d04a3d782d0,Ricki Sommerville,66,Female,United States,8/6/2022,Premium,Television
056ed00d-4a50-46c3-bdf3-f76baaa3795c,Chanda Akram,55,Female,United States,7/7/2022,Pro,Mobile
ea48ed4f-d32f-4e24-bbd3-bc4a0fb8424c,Hailey Tomaszynski,77,Male,Brazil,10/10/2022,Super,Mobile
2b32cd8f-24ff-43ed-a08a-b09ecb91cdaa,Fletcher Askwith,68,Male,Russia,11/15/2022,Super,Mobile
944dbe60-715c-497c-a78b-29f45f8257b5,Emmott Burvill,33,Polygender,Macedonia,5/18/2022,Pro,Desktop
094aee62-95d0-494e-a262-93f313b01bfb,Hector Prendeville,28,Male,Indonesia,12/27/2022,Super,Television
7908ab23-d6f3-470a-8a1d-a8547960a0d1,Clyde Sayers,12,Male,China,11/11/2022,Pro,Television
18ac2a67-8033-4ee7-9f77-72db4cab1be9,Binky Havenhand,69,Male,Philippines,1/10/2023,Pro,Desktop
2cf8a9b9-0435-4cd7-9dce-695a9b225437,Brent MacAlpine,92,Genderfluid,Indonesia,6/12/2022,Premium,Desktop
8c61f259-d668-479e-aac3-d0b263c1db29,Kora Carmo,96,Female,China,5/7/2022,Pro,Desktop
0769dae7-e5f4-4e09-934c-f16754bbec23,Ailee Fordham,98,Female,Brazil,6/27/2022,Super,Desktop
8e2c59b3-bccc-475d-9ddb-2066a4638874,Massimiliano Cossans,25,Male,China,7/4/2022,Super,Mobile
15a5289a-60fd-4d8b-802b-2ecbba4d9f87,Chrissy Tallis,84,Male,China,3/25/2022,Pro,Desktop
7870ad69-b019-442a-91ef-5bb9c5ab90f1,Nikolia Bull,74,Female,France,6/18/2022,Super,Television
2dfe6756-790a-4bbd-85a0-ecb330f41312,Elsey Danihel,27,Female,Brazil,2/24/2023,Super,Television
4cba5eb0-6db2-4b94-9dde-bb424e7b3ec2,Raina Innerstone,58,Female,United States,6/15/2022,Premium,Television
7d646bfa-3f26-4994-a499-522a761e56bb,Jakob Crosson,96,Male,Mexico,2/16/2023,Pro,Mobile
73ded192-638b-452b-8a2a-9dc29eb86d31,Carrie Reeder,100,Female,Peru,9/20/2022,Premium,Desktop
94cb9797-8b56-4395-8302-8a32cb124b4b,Viva Dubble,46,Female,Nigeria,5/14/2022,Pro,Television
69077ba4-e2ec-41b8-a655-aa69e424f790,Jocelin Allmann,1,Female,Mexico,11/19/2022,Pro,Mobile
67f15518-7993-4cbc-9418-ceabdc8d6515,Eddy Biddleston,85,Male,China,2/13/2023,Premium,Television
18ac6bfc-90fa-4caa-8597-5c9f31a5d578,Saxe Cristofalo,42,Male,China,11/23/2022,Premium,Mobile
8afb509a-cc34-4c83-954e-1da484a9a77e,Galvan Jeffels,42,Male,Indonesia,2/3/2023,Pro,Desktop
68907998-0e60-408f-b019-8dcf263af5a9,Rosanne Canet,25,Female,China,6/21/2022,Premium,Television
9864babf-b67f-4ed1-8954-d639d92ba8fd,Hendrick Kersaw,99,Male,Canada,5/19/2022,Super,Mobile
24960956-aa87-473c-87db-8dd8fb7a9e9f,Eamon Caherny,4,Non-binary,Sweden,11/12/2022,Premium,Desktop
b6fd50f5-6e76-4a68-ad67-95a502887c18,Diannne Pierson,43,Female,China,12/17/2022,Pro,Desktop
a7468f78-517e-4198-a0fb-e47ea9a65bed,Weidar Gathwaite,52,Male,Belize,4/15/2022,Premium,Desktop
290171ce-794a-4b54-8dc0-f96ed9be24b8,Nikolaus Burgise,51,Male,China,9/9/2022,Super,Desktop
04fa2189-baec-4ca8-9bad-fbce12535617,Mackenzie Lackey,68,Polygender,Czech Republic,11/24/2022,Premium,Desktop
79b72a00-c705-47c2-8dc6-e7b6f55112c6,Rozele Shew,75,Bigender,Brazil,10/13/2022,Super,Mobile
6e9fd362-3564-4c8f-8862-1b0ee82f1cb1,Clare McVittie,100,Male,Slovenia,4/23/2022,Super,Television
93b03588-aae6-4be3-9fa9-2b4d58b58fea,Alicea Dingate,90,Female,Argentina,4/14/2022,Premium,Desktop
6db96c05-8d5e-4fb1-a946-d7ead737a3e9,Ki Licciardo,66,Female,China,4/15/2022,Premium,Mobile
7f5f71bc-b2e6-4163-a52d-a910348a5249,Muffin Turfrey,47,Non-binary,Argentina,4/9/2022,Super,Mobile
54ab93f8-c5f0-42b7-9d15-936e443a602e,Sonya Santo,97,Female,France,6/7/2022,Pro,Television
6cbd7bce-1c6f-4e1a-beac-39c181534de1,Powell Gadsby,14,Male,Egypt,10/4/2022,Super,Desktop
dc0f279c-a01b-427b-9a3a-644fee7c0e60,Angelita Hallin,97,Genderqueer,China,6/1/2022,Super,Mobile
6726256d-b32b-496a-8c39-dec00045433c,Verney Laetham,44,Male,Venezuela,12/13/2022,Premium,Desktop
692e7268-34c7-420b-a0be-1328d33b249c,Avril Garron,24,Female,China,4/18/2022,Premium,Television
3af2d909-658f-4eff-b714-ab798c670a91,Adina McGarrie,46,Female,Greece,9/25/2022,Super,Mobile
584a36fb-f237-4a91-be85-9f9e4b3999a6,Ryan Thay,39,Male,Portugal,4/10/2022,Premium,Television
4bb9d555-46e5-4ba1-8fe6-1f9ced62ca38,Gwenni Pavie,83,Female,Vietnam,10/10/2022,Super,Desktop
9866696b-0839-4ac3-82d3-7eb2795260c6,Inness Manass,61,Male,Russia,11/5/2022,Pro,Television
c7e1d441-dbb9-4b66-8097-4f3a2ea58041,Verla Wetter,54,Female,China,10/1/2022,Pro,Desktop
ac624089-aa8d-493f-8a6b-9bb2087c65e1,Graeme Sheehy,73,Male,Israel,3/21/2023,Premium,Television
